id,amount,month,day,orig,dest
1,2095.1,5,22,Guangdong,Worldwide
2,6.4992,3,12,Guangdong,California
3,1000,1,8,Jiangsu,Guizhou
4,7.5,8,3,Jiangsu,Guangdong
5,7.5,8,3,Jiangsu,Guangdong
6,7.5,8,3,Jiangsu,Guangdong
7,7.5,8,3,Jiangsu,Guangdong
8,7.5,8,3,Jiangsu,Guangdong
9,7.5,8,3,Jiangsu,Guangdong
10,7.5,8,3,Jiangsu,Guangdong
11,7.5,8,3,Jiangsu,Guangdong
12,7.5,8,5,Guangxi,Guangdong
13,7.5,8,5,Guangxi,Guangdong
14,7.5,8,5,Guangxi,Guangdong
15,7.5,8,5,Guangxi,Guangdong
16,7.5,8,5,Guangxi,Guangdong
17,7.5,8,5,Guangxi,Guangdong
18,7.5,8,5,Guangxi,Guangdong
19,7.5,8,5,Guangxi,Guangdong
20,5,7,12,Guangdong,Guangdong
21,5,7,12,Guangdong,Guangdong
22,5,7,12,Guangdong,Guangdong
23,5,7,12,Guangdong,Guangdong
24,4,7,12,Guangdong,Guangdong
25,700,12,21,Beijing,Shanghai
26,93.18,4,11,Beijing,Yunnan
27,50,5,8,Beijing,Shandong
28,50,5,8,Beijing,Hubei
29,50,5,8,Beijing,Guangxi
30,50,5,8,Beijing,Guizhou
31,50,5,8,Beijing,Chongqing
32,50,5,8,Beijing,Shanxi
33,3,11,9,Beijing,Hubei
34,1000,12,16,Beijing,Jiangsu
35,50,9,16,Jiangxi,Liaoning
36,10,2,2,Beijing,Liaoning
37,10,7,20,Beijing,Shandong
38,2,11,12,Shanghai,Beijing
39,500,7,8,Guangdong,Guangdong
40,100,9,17,Guangdong,Guangdong
41,5,10,31,Guangdong,Guangdong
42,5,10,31,Guangdong,Guangdong
43,5,10,31,Guangdong,Guangdong
44,5,10,31,Guangdong,Guangdong
45,5,1,25,Guangdong,Guangdong
46,5,1,25,Guangdong,Guangdong
47,5,10,29,Guangdong,Guangdong
48,5,10,29,Guangdong,Guangdong
49,5,10,29,Guangdong,Guangdong
50,5,10,29,Guangdong,Guangdong
51,5,10,29,Guangdong,Guangdong
52,5,10,29,Guangdong,Guangdong
53,5,10,29,Guangdong,Guangdong
54,5,10,29,Guangdong,Guangdong
55,3,9,16,Guangdong,Shaanxi
56,500,2,29,Jiangsu,Jiangsu
57,1300,8,29,Beijing,Beijing
58,200,10,16,Beijing,Beijing
59,50,11,19,Beijing,Zhejiang
60,10,12,19,Beijing,Jiangsu
61,1,1,11,Beijing,Guangdong
62,0.3,1,10,Beijing,Guangdong
63,0.3,9,21,Beijing,Guizhou
64,0.3,11,27,Beijing,Shandong
65,113,1,28,Hubei,Hubei
66,100,1,28,Hubei,Hubei
67,6,7,8,Hubei,Hubei
68,1,11,9,Hubei,Hubei
69,200,5,3,Guangdong,Beijing
70,180,4,22,Beijing,Beijing
71,100,4,4,Zhejiang,Zhejiang
72,31.8255,9,26,Zhejiang,New York
73,1.666666667,1,17,Zhejiang,Shaanxi
74,1.666666667,1,17,Zhejiang,Gansu
75,1.666666667,1,17,Zhejiang,Ningxia
76,1.666666667,1,17,Zhejiang,Yunnan
77,1.666666667,1,17,Zhejiang,Guizhou
78,1.666666667,1,17,Zhejiang,Sichuan
79,0.3,10,30,Zhejiang,Beijing
80,0.25,7,27,Zhejiang,Hubei
81,0.25,7,27,Zhejiang,Hunan
82,0.25,7,27,Zhejiang,Anhui
83,0.25,7,27,Zhejiang,Guizhou
84,0.25,7,27,Zhejiang,Yunnan
85,0.25,7,27,Zhejiang,Guangxi
86,0.25,7,27,Zhejiang,Jiangxi
87,0.25,7,27,Zhejiang,Chongqing
88,0.1,4,26,Zhejiang,Beijing
89,65,12,,Ningxia,Ningxia
90,60,10,,Ningxia,Ningxia
91,120,7,31,Guangdong,Guangdong
92,110,12,7,Beijing,Guangdong
93,60,12,30,Sichuan,Chongqing
94,30,5,8,Sichuan,Sichuan
95,10,12,18,Sichuan,Sichuan
96,2.77,3,16,Sichuan,Sichuan
97,2.77,3,16,Sichuan,Sichuan
98,100,3,23,Beijing,Beijing
99,100,12,4,Beijing,Beijing
100,100,1,8,Shanghai,Zhejiang
101,100,5,2,Fujian,Beijing
102,65,11,3,Shanghai,Shanghai
103,20.055,5,3,Heilongjiang,Beijing
104,17.00139,6,15,Heilongjiang,Beijing
105,13.013821,9,27,Heilongjiang,Beijing
106,5,4,28,Heilongjiang,Beijing
107,5,8,9,Heilongjiang,Beijing
108,60,10,2,Tianjin,Tianjin
109,60,12,22,Guangdong,Beijing
110,13870,4,19,Guangdong,Guangdong
111,13.09,1,12,Guangdong,Beijing
112,12.6,10,17,Guangdong,Beijing
113,3.64,1,12,Guangdong,Beijing
114,3.17,12,14,Guangdong,Guangdong
115,2.29,1,12,Guangdong,Beijing
116,2,11,4,Guangdong,Beijing
117,2,2,1,Guangdong,Beijing
118,2,3,22,Guangdong,Beijing
119,2,2,1,Guangdong,Beijing
120,1.5,11,19,Guangdong,Guangdong
121,1.49,1,12,Guangdong,Beijing
122,1.42,1,12,Guangdong,Beijing
123,1.26,1,6,Guangdong,Beijing
124,1.12,1,12,Guangdong,Beijing
125,1.07,1,12,Guangdong,Beijing
126,1,9,29,Guangdong,Guangdong
127,0.99,1,12,Guangdong,Beijing
128,0.9,3,16,Guangdong,Shanghai
129,0.75,8,1,Guangdong,Jiangsu
130,0.69,1,12,Guangdong,Beijing
131,0.67,1,12,Guangdong,Beijing
132,0.5,8,5,Guangdong,Beijing
133,0.48,1,12,Guangdong,Beijing
134,0.35,1,12,Guangdong,Beijing
135,0.26,1,12,Guangdong,Beijing
136,0.25,1,12,Guangdong,Beijing
137,0.23,1,12,Guangdong,Beijing
138,0.2,9,24,Guangdong,Beijing
139,0.2,1,12,Guangdong,Beijing
140,0.2,9,17,Guangdong,Beijing
141,0.2,9,17,Guangdong,Beijing
142,0.2,9,11,Guangdong,Beijing
143,0.2,9,25,Guangdong,Beijing
144,0.17,1,12,Guangdong,Beijing
145,0.12,1,12,Guangdong,Beijing
146,0.1,1,12,Guangdong,Beijing
147,0.1,1,12,Guangdong,Beijing
148,,10,15,Guangdong,Guangdong
149,40,5,10,Jiangsu,Unspecified
150,34.61,12,26,Jiangsu,Unspecified
151,1.5,8,26,Jiangsu,Italy
152,1,4,3,Jiangsu,Shaanxi
153,1,4,3,Jiangsu,Ningxia
154,1,4,3,Jiangsu,Inner Mongolia
155,1,4,3,Jiangsu,Gansu
156,1,4,3,Jiangsu,Qinghai
157,1,4,3,Jiangsu,Xinjiang
158,1,8,3.25,Jiangsu,Hubei
159,1,8,3.25,Jiangsu,Hunan
160,1,8,3.25,Jiangsu,Anhui
161,1,8,3.25,Jiangsu,Guizhou
162,1,8,3.25,Jiangsu,Yunnan
163,1,8,3.25,Jiangsu,Guangxi
164,1,8,3.25,Jiangsu,Jiangxi
165,1,8,3.25,Jiangsu,Chongqing
166,1,3,30,Jiangsu,Beijing
167,0.5,12,26,Shanghai,Shanghai
168,0.5,3,9,Jiangsu,Nepal
169,0.5,3,30,Jiangsu,Sichuan
170,24.72,6,N/A,Guangdong,Beijing
171,13.22,6,N/A,Guangdong,Beijing
172,8.79,7,N/A,Guangdong,Beijing
173,5.86,8,N/A,Guangdong,Beijing
174,3.25,5,N/A,Guangdong,Beijing
175,51,9,2,Sichuan,Sichuan
176,50,1,28,Anhui,Hubei
177,50,4,8,Zhejiang,Shanghai
178,9,8,3,Anhui,Guangdong
179,9,8,3,Anhui,Guangdong
180,9,8,3,Anhui,Guangdong
181,9,8,3,Anhui,Guangdong
182,9,8,3,Anhui,Guangdong
183,5,8,3,Anhui,Guangdong
184,30,10,26,Hebei,Yunnan
185,15,10,25,Hebei,Shandong
186,20,1,28,Hubei,Hubei
187,10,1,28,Hubei,Hubei
188,10,9,5,Hubei,Hubei
189,1,3,4,Hubei,Hubei
190,1,9,6,Hubei,Hubei
191,1,7,16,Hubei,Hubei
192,,3,4,Hubei,Hubei
193,15,1,12,Beijing,Beijing
194,10,4,20,Beijing,Beijing
195,6.5,3,4,Beijing,Shanghai
196,5,3,31,Beijing,Beijing
197,3.52,11,30,Beijing,Beijing
198,32,1,28,Hubei,Hubei
199,20,12,17,Hunan,Hunan
200,3.5,5,25,Shanghai,Shanghai
201,3,6,10,Hunan,Hunan
202,3,6,29,Hunan,Hunan
203,1.3,3,9,Hunan,Shanxi
204,1,7,31,Hunan,Anhui
205,15,12,N/A,Beijing,Beijing
206,3.54,7,13,Beijing,Sichuan
207,2.3,11,18,Hubei,Hubei
208,1.427,12,17,Beijing,Beijing
209,0.89701,12,17,Beijing,Sichuan
210,0.66051,12,17,Beijing,Sichuan
211,0.628585,12,17,Beijing,Sichuan
212,0.45925,12,17,Beijing,Beijing
213,0.43966,12,17,Beijing,Beijing
214,0.39718,12,17,Beijing,Sichuan
215,0.3737,12,17,Beijing,Beijing
216,0.37043,12,17,Beijing,Beijing
217,0.36135,12,17,Beijing,Beijing
218,0.35557,12,17,Beijing,Beijing
219,0.339,12,17,Beijing,Beijing
220,0.327545,12,17,Beijing,Beijing
221,0.28148,12,17,Beijing,Sichuan
222,0.27301,12,17,Beijing,Beijing
223,0.25695,12,17,Beijing,Sichuan
224,0.25505,12,17,Beijing,Sichuan
225,0.247831,12,17,Beijing,Sichuan
226,0.224425,12,17,Beijing,Beijing
227,0.20665,12,17,Beijing,Beijing
228,0.18877,12,17,Beijing,Beijing
229,0.1762,12,17,Beijing,Sichuan
230,0.16559,12,17,Beijing,Beijing
231,0.150018,12,17,Beijing,Beijing
232,0.14984,12,17,Beijing,Sichuan
233,0.14495,12,17,Beijing,Sichuan
234,0.1393,12,17,Beijing,Sichuan
235,0.1347,12,17,Beijing,Beijing
236,0.12505,12,17,Beijing,Beijing
237,0.1183,12,17,Beijing,Beijing
238,0.10625,12,17,Beijing,Beijing
239,0.1037,12,17,Beijing,Sichuan
240,0.034634333,12,17,Beijing,Beijing
241,0.034634333,12,17,Beijing,Beijing
242,0.034634333,12,17,Beijing,Beijing
243,30,9,17,Guangdong,Guangdong
244,30,5,20,Zhejiang,Zhejiang
245,30,9,17,Shandong,Guangdong
246,30,11,12,Beijing,Sichuan
247,30,12,22,Beijing,Beijing
248,30,5,24,Hubei,Hubei
249,7.5,8,5,Guangdong,Guangdong
250,7.5,8,5,Guangdong,Guangdong
251,7.5,8,5,Guangdong,Guangdong
252,7.5,8,5,Guangdong,Guangdong
253,30,9,17,Guangdong,Guangdong
254,30,1,28,Hubei,Hubei
255,28.1,12,12,Shanghai,Beijing
256,27.5,5,30,Chongqing,Chongqing
257,22.67,8,15,Guangdong,Beijing
258,1.2,12,15,Guangdong,Guangdong
259,10,6,30,Guangdong,Guangdong
260,10,1,6,Guangdong,Guangdong
261,3,1,9,Guangdong,Guangdong
262,18.5,9,10,Tianjin,Tianjin
263,2,11,9,Tianjing,Sichuan
264,1,4,23,Tianjin,Sichuan
265,12.25,6,29,Guangdong,Guangdong
266,5,8,22,Guangdong,Guangdong
267,3,9,9,Guangdong,Guangdong
268,5,10,29,Guangdong,Guangdong
269,5,10,29,Guangdong,Guangdong
270,5,10,29,Guangdong,Guangdong
271,5,10,29,Guangdong,Guangdong
272,10,9,30,Hebei,Beijing
273,10,9,30,Hebei,Beijing
274,20,3,31,Shanghai,Shanghai
275,20,10,22,Shanghai,Shanghai
276,20,11,10,Guangdong,Hubei
277,20,1,28,Hubei,Hubei
278,20,10,16,Yunnan,Yunnan
279,20,12,25,Hunan,Hubei
280,10,9,8,Hong Kong,Unspecified
281,8.94,12,31,Hong Kong,Guangdong
282,10,9,,Beijing,Tianjin
283,2,3,,Beijing,Jiangsu
284,2,3,,Beijing,Jiangsu
285,2,11,,Beijing,Beijing
286,1,9,,Beijing,Shanghai
287,1,10,,Beijing,Beijing
288,0.5403821,3,,Beijing,Hebei
289,0.5,7,,Beijing,Beijing
290,0.3985727,7,,Beijing,Hubei
291,0.3477,7,,Beijing,Guangxi
292,0.34165333,3,,Beijing,Jiangsu
293,0.25,9,,Beijing,Guangxi
294,0.12882,10,,Beijing,Tianjin
295,0.1008695,7,,Beijing,Fujian
296,0.1002445,7,,Beijing,Hubei
297,0.1,11,,Beijing,Jilin
298,0.08608786,3,,Beijing,Liaoning
299,0.08405,12,,Beijing,Hongkong
